name,sku,base_price,category_slug,stock,description,short_description
Pulsera de Yemayá - azul y cristal,PY-PULS-03,195.00,pulseras,75,Idé de Yemayá tejido con cuentas azules y cristal transparente. Pieza de protección marina y maternal.,Pulsera de Yemayá en azul y cristal.
Pulsera de Obatalá - blanca con detalles plata,PY-PULS-04,240.00,pulseras,60,Idé de Obatalá en cuentas blancas opalinas con detalles plateados. Para devotos del orisha de la paz y la sabiduría.,Pulsera de Obatalá blanca con plata.
Pulsera de Changó - roja y blanca,PY-PULS-05,185.00,pulseras,72,Idé de Changó alternando cuentas rojas y blancas. Símbolo del fuego justiciero y la realeza.,Pulsera de Changó roja y blanca.
Pulsera de Ogún - verde y negra,PY-PULS-06,175.00,pulseras,65,Idé de Ogún tejido con cuentas verdes y negras. Pieza ceremonial para guerreros y trabajadores del hierro.,Pulsera de Ogún verde y negra.
Ofrenda para Eleguá - canasta con dulces y maíz tostado,PY-OFRE-01,320.00,ofrendas,40,Adimú tradicional para Eleguá compuesto por dulces típicos, maíz tostado y aguardiente. Presentado en canasta de fibra natural. Para entregar en la esquina o el monte.,Adimú completo para Eleguá.
Ofrenda para Oshún - calabaza con miel y girasoles,PY-OFRE-02,420.00,ofrendas,30,Adimú para Oshún con calabaza dulce rellena de miel virgen y girasoles frescos. Presentado en bandeja de barro. Para colocar a la orilla del río.,Adimú dulce para Oshún.
Ofrenda para Yemayá - sandía con caña y melaza,PY-OFRE-03,390.00,ofrendas,25,Adimú para Yemayá compuesto por sandía abierta, trozos de caña dulce y melaza. Para entregar al mar al amanecer.,Adimú marino para Yemayá.
Ofrenda para Changó - amalá con quimbombó,PY-OFRE-04,360.00,ofrendas,28,Adimú clásico de Changó: amalá de harina de maíz con quimbombó cocinado. Presentado en plato de madera con velas rojas.,Amalá ilá tradicional para Changó.
Ofrenda para Obatalá - merengue y arroz blanco,PY-OFRE-05,310.00,ofrendas,32,Adimú para Obatalá con merengue de claras y arroz blanco con leche. Presentado en plato blanco impecable.,Adimú blanco para Obatalá.
Sahumerio de despojo siete potencias,PY-SAHU-01,95.00,sahumerios,120,Sahumerio elaborado con resinas de mirra incienso y hierbas de despojo: ruda romero albahaca y rompezaragüey. Para limpiar cargas y abrir caminos en el hogar.,Sahumerio limpiador siete potencias.
Sahumerio de Oshún para endulzar el amor,PY-SAHU-02,105.00,sahumerios,90,Sahumerio con canela miel girasol y mirra preparado bajo invocación de Oshún para atraer y endulzar relaciones amorosas.,Sahumerio dulce de Oshún para el amor.
Sahumerio de Yemayá para limpieza del hogar,PY-SAHU-03,98.00,sahumerios,100,Sahumerio con incienso azul mirra albahaca de mar y sal marina para purificar la casa bajo el manto de Yemayá.,Sahumerio purificador de Yemayá.
Sahumerio de Changó contra envidias,PY-SAHU-04,110.00,sahumerios,85,Sahumerio elaborado con sangre de drago canela cedro y pólvora consagrada para neutralizar envidias y enemigos ocultos.,Sahumerio protector de Changó.
Aceite ritual de Oshún - 30 ml,PY-ACEI-01,150.00,aceites,90,Aceite ritual base de almendras macerado con canela girasol y miel bajo invocación de Oshún. Para ungir velas amuletos y zonas de pulso al pedir amor y prosperidad.,Aceite ritual de Oshún 30 ml.
Aceite ritual de Yemayá - 30 ml,PY-ACEI-02,150.00,aceites,85,Aceite ritual base de coco macerado con sal marina algas y mirra. Bajo invocación de Yemayá para limpieza emocional y maternidad.,Aceite ritual de Yemayá 30 ml.
Aceite ritual de Eleguá abrecaminos - 30 ml,PY-ACEI-03,160.00,aceites,95,Aceite preparado con palo abrecaminos canela y guinea. Bajo invocación de Eleguá para destrabar oportunidades.,Aceite abrecaminos de Eleguá.
Aceite ritual de Changó - 30 ml,PY-ACEI-04,155.00,aceites,80,Aceite con canela pimienta roja y resina de copal bajo el ashé de Changó para fuerza victoria y justicia.,Aceite ritual de Changó 30 ml.
Aceite ritual de Obatalá - 30 ml,PY-ACEI-05,160.00,aceites,80,Aceite blanco de coco con manteca de cacao y resina de benjuí bajo Obatalá para paz mental y claridad.,Aceite ritual de Obatalá 30 ml.
Jabón artesanal de Oshún - miel y girasol,PY-JABO-01,85.00,jabones,150,Jabón artesanal saponificado en frío con miel virgen aceite de girasol y canela. Bajo invocación de Oshún para baños dulces de amor.,Jabón ritual de Oshún miel y girasol.
Jabón artesanal de Yemayá - sal marina y algas,PY-JABO-02,85.00,jabones,140,Jabón artesanal con sal marina algas spirulina y manteca de coco para baños de limpieza bajo Yemayá.,Jabón ritual de Yemayá sal y algas.
Jabón artesanal de Eleguá - despojo siete hierbas,PY-JABO-03,90.00,jabones,130,Jabón saponificado con infusión de siete hierbas de despojo (ruda albahaca rompezaragüey romero salvia mejorana y abrecaminos). Para baños de apertura de caminos.,Jabón despojo siete hierbas.
Jabón artesanal de Obatalá - cacao y leche,PY-JABO-04,95.00,jabones,120,Jabón artesanal con manteca de cacao leche de coco y benjuí. Bajo Obatalá para baños de paz y claridad mental.,Jabón ritual de Obatalá cacao y leche.
Polvo ritual de canela y miel - Oshún,PY-POLV-01,70.00,polvos,160,Polvo ritual fino de canela molida miel deshidratada y pétalos de girasol. Para espolvorear sobre fotografías velas o en la suela del calzado bajo invocación de Oshún.,Polvo ritual dulce de Oshún.
Polvo ritual abrecaminos - Eleguá,PY-POLV-02,75.00,polvos,150,Polvo ritual de palo abrecaminos guinea y maíz tostado molido. Bajo Eleguá para destrabar negocios y senderos.,Polvo abrecaminos de Eleguá.
Polvo ritual de protección - Ogún,PY-POLV-03,80.00,polvos,140,Polvo ritual de limaduras de hierro carbón vegetal y palo vencedor. Bajo Ogún para protección guerrera del hogar.,Polvo de protección de Ogún.
Polvo ritual de paz - Obatalá,PY-POLV-04,75.00,polvos,135,Polvo blanco ritual de cascarilla almidón de maíz y benjuí. Bajo Obatalá para armonizar ambientes y aplacar discordias.,Polvo ritual de paz de Obatalá.
Semillas de obí (coco) consagradas - juego de 4,PY-SEMI-01,120.00,semillas,200,Juego de cuatro pedazos de obí (coco) consagrado para la consulta tradicional Lukumí biangué. Presentado en bolsa de algodón.,Obí para consulta tradicional.
Semillas de ewé areo - paquete 50 g,PY-SEMI-02,60.00,semillas,180,Paquete de semillas de ewé areo (planta sagrada Yoruba) para uso ritual y siembra ceremonial.,Semillas ewé areo 50 g.
Semillas de cola (obí kola) - paquete 30 g,PY-SEMI-03,140.00,semillas,90,Semillas auténticas de cola (obí kola) importadas de África Occidental. Utilizadas en consultas y ofrendas tradicionales Yoruba.,Obí kola africano 30 g.
Semillas de ataré (pimienta de Guinea) - 20 g,PY-SEMI-04,95.00,semillas,160,Semillas de ataré o pimienta de Guinea usadas en mascaduras ritos de fundamento y consagraciones de orishas.,Ataré pimienta de Guinea 20 g.
